order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,morning_order,date_ordered
2394225,190958,prior,4,5,10,27,yes,2025-01-28
1535712,50419,prior,24,2,09,10,yes,2025-01-11
1595279,181340,prior,3,3,09,6,yes,2025-01-07
13010,100698,prior,55,3,09,5,yes,2025-01-06
2771676,192063,prior,6,6,10,20,yes,2025-01-21
147149,17425,train,49,5,15,19,no,2025-01-20
2961654,537,prior,5,2,09,8,yes,2025-01-09
153559,116457,prior,8,0,09,7,yes,2025-01-08
3053447,169608,prior,46,1,10,6,yes,2025-01-07
246578,194058,prior,7,1,07,22,yes,2025-01-23
1963410,50299,prior,52,1,11,7,no,2025-01-08
63686,132899,prior,12,2,18,28,no,2025-01-29
66889,8639,prior,12,5,10,5,yes,2025-01-06
2664624,36007,prior,63,1,08,1,yes,2025-01-02
1891523,13711,prior,6,4,09,7,yes,2025-01-08
2671964,201920,prior,2,4,12,7,no,2025-01-08
2715398,136300,prior,41,1,16,7,no,2025-01-08
317917,185255,prior,36,0,12,3,no,2025-01-04
2419254,187221,prior,8,3,08,7,yes,2025-01-08
2045768,18173,prior,2,6,09,30,yes,2025-01-31
1472361,192533,prior,17,0,10,15,yes,2025-01-16
2187763,49364,prior,7,0,16,30,no,2025-01-31
849561,79439,prior,33,4,18,10,no,2025-01-11
437375,178283,prior,28,5,16,1,no,2025-01-02
2636213,83321,prior,15,0,12,3,no,2025-01-04
1989121,156161,test,31,4,17,6,no,2025-01-07
2732660,7355,prior,62,0,07,7,yes,2025-01-08
314897,52297,prior,7,0,12,4,no,2025-01-05
626521,134922,prior,44,6,12,8,no,2025-01-09
1678553,38226,train,13,5,17,13,no,2025-01-14
1121936,113668,prior,4,0,16,30,no,2025-01-31
1512620,169586,prior,31,5,11,1,no,2025-01-02
1591893,88332,prior,8,6,19,30,no,2025-01-31
3238709,100064,prior,14,4,12,24,no,2025-01-25
379160,39440,prior,3,5,05,3,yes,2025-01-04
1912808,187888,prior,3,6,08,21,yes,2025-01-22
1311827,26962,prior,40,2,11,16,no,2025-01-17
2231824,88251,prior,16,0,07,8,yes,2025-01-09
1447816,143314,prior,2,2,17,6,no,2025-01-07
2210643,80163,prior,6,2,13,8,no,2025-01-09
1899125,202321,prior,6,0,14,19,no,2025-01-20
1266321,18649,prior,6,6,10,18,yes,2025-01-19
3408953,200540,prior,2,3,15,30,no,2025-01-31
1638353,195889,prior,13,0,15,4,no,2025-01-05
789024,149331,prior,6,1,19,6,no,2025-01-07
2573140,149747,prior,19,5,00,16,no,2025-01-17
1016114,140632,prior,7,6,14,14,no,2025-01-15
665793,42438,test,9,1,19,4,no,2025-01-05
434394,108683,prior,22,1,13,20,no,2025-01-21
849137,201074,prior,11,2,13,8,no,2025-01-09
3119070,129639,prior,37,5,10,30,yes,2025-01-31
2648303,6302,prior,4,6,11,5,no,2025-01-06
316181,126367,prior,2,1,10,22,yes,2025-01-23
2991500,79849,prior,2,3,08,3,yes,2025-01-04
1600993,37551,prior,12,2,13,8,no,2025-01-09
2199441,76071,prior,6,0,11,6,no,2025-01-07
3378108,144132,prior,3,1,18,8,no,2025-01-09
789151,156295,prior,27,6,19,4,no,2025-01-05
670682,113760,prior,59,0,08,5,yes,2025-01-06
86671,81383,prior,2,1,16,2,no,2025-01-03
1166053,148688,prior,20,2,13,4,no,2025-01-05
2318873,76449,prior,12,3,10,5,yes,2025-01-06
827105,105152,prior,5,3,08,5,yes,2025-01-06
470423,86990,prior,6,3,16,14,no,2025-01-15
536464,129229,prior,47,6,16,2,no,2025-01-03
2230414,45648,prior,2,2,11,30,no,2025-01-31
1879830,81215,prior,3,0,12,3,no,2025-01-04
1813401,18883,prior,45,2,08,10,yes,2025-01-11
911442,66336,prior,35,1,08,7,yes,2025-01-08
1865054,57150,prior,9,4,19,30,no,2025-01-31
3362153,205767,prior,9,1,13,4,no,2025-01-05
2454599,124691,prior,3,2,10,30,yes,2025-01-31
2527677,20016,prior,30,2,10,6,yes,2025-01-07
2034308,152679,prior,10,1,13,8,no,2025-01-09
320885,204791,prior,5,2,15,7,no,2025-01-08
3213310,52985,prior,15,2,14,4,no,2025-01-05
43477,65162,prior,23,1,16,18,no,2025-01-19
1990567,97595,prior,6,0,08,5,yes,2025-01-06
2935012,94328,prior,4,3,04,5,no,2025-01-06
725779,149074,prior,71,3,11,5,no,2025-01-06
372059,130911,prior,2,1,13,8,no,2025-01-09
807635,5912,prior,59,0,15,2,no,2025-01-03
549083,140313,prior,7,2,11,20,no,2025-01-21
2329773,123101,prior,4,6,12,25,no,2025-01-26
912030,134691,prior,2,1,07,7,yes,2025-01-08
92057,187984,prior,50,4,10,3,yes,2025-01-04
303387,99675,prior,30,5,19,11,no,2025-01-12
2169011,68302,prior,14,3,12,11,no,2025-01-12
1563837,67309,prior,8,4,18,11,no,2025-01-12
2172616,161179,prior,7,0,11,10,no,2025-01-11
480890,143462,prior,2,0,05,30,yes,2025-01-31
506586,17199,prior,23,2,07,7,yes,2025-01-08
2690907,32099,prior,18,1,20,4,no,2025-01-05
2595050,85442,prior,16,5,18,30,no,2025-01-31
1696853,176980,prior,10,3,10,30,yes,2025-01-31
259086,187218,prior,14,6,11,9,no,2025-01-10
3025761,54103,prior,38,6,19,25,no,2025-01-26
3315858,22813,prior,11,0,21,2,no,2025-01-03
3126716,106721,prior,5,2,16,9,no,2025-01-10
915092,133628,prior,16,0,12,2,no,2025-01-03
1622978,13364,prior,2,1,15,5,no,2025-01-06
3302170,69307,train,12,3,20,10,no,2025-01-11
3208485,123425,prior,4,6,17,10,no,2025-01-11
3147521,144830,prior,20,4,22,6,no,2025-01-07
2126097,67744,prior,12,4,17,2,no,2025-01-03
2197231,31633,prior,21,5,16,3,no,2025-01-04
2735056,114573,prior,10,4,08,9,yes,2025-01-10
2420845,29964,prior,13,6,12,7,no,2025-01-08
2759461,98903,prior,23,6,13,7,no,2025-01-08
1388777,72205,prior,33,0,19,16,no,2025-01-17
741095,81603,prior,38,1,12,10,no,2025-01-11
2694930,42938,prior,10,1,17,7,no,2025-01-08
1704475,116135,prior,35,4,17,1,no,2025-01-02
2064686,82889,prior,2,3,10,22,yes,2025-01-23
782485,110698,prior,24,0,10,3,yes,2025-01-04
2026826,134003,prior,44,5,11,2,no,2025-01-03
412373,64197,prior,8,6,14,5,no,2025-01-06
2315295,18958,prior,9,2,17,30,no,2025-01-31
942668,93592,prior,10,1,17,5,no,2025-01-06
2517655,190890,prior,8,4,14,4,no,2025-01-05
1444951,178380,prior,15,2,11,6,no,2025-01-07
2736191,184832,prior,50,2,09,2,yes,2025-01-03
3012770,32133,prior,3,3,19,16,no,2025-01-17
568279,73477,prior,56,1,07,12,yes,2025-01-13
1847787,142183,prior,19,0,11,8,no,2025-01-09
2067390,204204,prior,24,1,08,10,yes,2025-01-11
968584,74730,prior,9,5,19,6,no,2025-01-07
2441156,145890,prior,38,4,17,1,no,2025-01-02
302306,38132,prior,5,0,17,4,no,2025-01-05
2300295,23205,prior,17,6,14,25,no,2025-01-26
593712,106133,prior,4,0,17,1,no,2025-01-02
1081819,22564,prior,3,6,13,2,no,2025-01-03
120344,121777,prior,17,0,14,19,no,2025-01-20
2529065,172399,prior,2,2,15,14,no,2025-01-15
1259541,149386,prior,7,6,08,11,yes,2025-01-12
2037831,103336,prior,4,1,19,5,no,2025-01-06
2835205,193996,prior,6,2,10,22,yes,2025-01-23
2579262,92130,prior,52,0,17,11,no,2025-01-12
738674,125080,prior,4,4,14,30,no,2025-01-31
1304177,15191,prior,16,2,09,15,yes,2025-01-16
1610445,61399,prior,35,5,19,2,no,2025-01-03
2683069,113763,prior,3,0,09,0,yes,2025-01-01
2357692,167194,prior,4,1,10,4,yes,2025-01-05
2221125,48058,prior,18,1,19,21,no,2025-01-22
3328763,202596,prior,10,1,14,8,no,2025-01-09
3107826,99195,prior,4,3,10,14,yes,2025-01-15
1673527,13766,prior,12,1,19,1,no,2025-01-02
2526597,155122,prior,5,0,17,9,no,2025-01-10
2628178,118859,train,8,0,13,16,no,2025-01-17
1585664,86064,prior,3,6,15,30,no,2025-01-31
2671074,68761,prior,29,0,14,8,no,2025-01-09
2819071,48379,prior,3,1,12,6,no,2025-01-07
3182990,35248,prior,37,6,12,1,no,2025-01-02
3309925,157765,prior,12,6,13,26,no,2025-01-27
1283816,161123,prior,9,6,10,7,yes,2025-01-08
1152847,139608,prior,3,2,19,8,no,2025-01-09
1439668,195875,prior,18,1,12,17,no,2025-01-18
2043992,146895,prior,7,5,13,1,no,2025-01-02
48493,179705,prior,3,0,09,2,yes,2025-01-03
2701991,13967,prior,2,6,20,5,no,2025-01-06
3082959,118392,prior,7,6,12,19,no,2025-01-20
1633699,76350,prior,5,3,13,7,no,2025-01-08
992510,104257,prior,12,6,10,7,yes,2025-01-08
892670,10828,prior,35,6,14,9,no,2025-01-10
3415550,12073,prior,9,5,12,20,no,2025-01-21
1584427,132201,prior,38,2,17,4,no,2025-01-05
1387662,107222,prior,2,3,11,7,no,2025-01-08
2036528,152177,prior,11,0,11,8,no,2025-01-09
2916024,49920,prior,9,4,10,8,yes,2025-01-09
1667177,56025,prior,10,2,19,9,no,2025-01-10
2862880,76729,prior,57,6,15,1,no,2025-01-02
218764,198563,prior,6,5,17,17,no,2025-01-18
2718806,112159,prior,38,0,09,3,yes,2025-01-04
250620,110473,prior,7,4,23,0,no,2025-01-01
2335510,48259,prior,19,5,20,5,no,2025-01-06
3340214,1909,prior,30,3,17,2,no,2025-01-03
460624,157041,prior,4,4,14,30,no,2025-01-31
657324,173650,prior,25,0,13,7,no,2025-01-08
1056468,77063,prior,2,5,20,8,no,2025-01-09
1525770,93880,prior,21,4,08,5,yes,2025-01-06
748329,111879,prior,7,0,12,7,no,2025-01-08
3113894,199546,prior,16,3,14,1,no,2025-01-02
359596,54002,prior,4,2,13,30,no,2025-01-31
1312685,146326,prior,9,3,18,18,no,2025-01-19
2350101,39475,prior,45,6,08,4,yes,2025-01-05
749382,27958,prior,7,1,15,14,no,2025-01-15
1941363,102240,prior,5,0,22,14,no,2025-01-15
2806946,101184,prior,4,2,10,10,yes,2025-01-11
3378161,66630,prior,12,1,11,21,no,2025-01-22
3217786,184881,prior,5,5,13,8,no,2025-01-09
446254,50720,train,7,4,16,30,no,2025-01-31
992946,22053,prior,17,0,14,6,no,2025-01-07
1534176,77968,prior,32,2,11,5,no,2025-01-06
1046461,41186,prior,56,0,17,7,no,2025-01-08
1447748,146994,prior,18,4,15,9,no,2025-01-10
2768512,5329,prior,29,4,18,0,no,2025-01-01
215250,108538,prior,2,4,17,3,no,2025-01-04
1569592,166138,prior,2,2,14,15,no,2025-01-16
395098,16168,prior,13,1,11,7,no,2025-01-08
215841,103539,prior,16,5,11,7,no,2025-01-08
1994127,194006,train,82,3,07,8,yes,2025-01-09
746601,112771,test,4,5,15,17,no,2025-01-18
2789203,132917,prior,12,5,13,9,no,2025-01-10
1478481,162616,prior,3,1,15,26,no,2025-01-27
1803543,9898,prior,23,0,13,10,no,2025-01-11
2537960,105758,prior,5,0,13,15,no,2025-01-16
26901,74568,prior,10,5,09,12,yes,2025-01-13
3262853,6045,prior,71,2,12,1,no,2025-01-02
1154880,164376,prior,62,4,17,3,no,2025-01-04
1098551,87522,prior,24,4,19,10,no,2025-01-11
3083178,76819,prior,42,5,16,10,no,2025-01-11
1648013,184458,prior,30,4,10,2,yes,2025-01-03
1483753,177520,prior,2,0,08,17,yes,2025-01-18
3134282,31253,prior,3,2,13,21,no,2025-01-22
1122330,25151,prior,8,4,23,30,no,2025-01-31
1766963,146172,prior,31,3,09,5,yes,2025-01-06
501019,173709,prior,5,0,08,7,yes,2025-01-08
2655517,122756,prior,15,0,15,7,no,2025-01-08
1496754,41843,prior,16,1,19,5,no,2025-01-06
700715,159655,train,33,1,00,15,no,2025-01-16
558881,6705,prior,15,4,10,21,yes,2025-01-22
3058692,203595,prior,5,1,10,14,yes,2025-01-15
3118282,164815,prior,9,3,16,14,no,2025-01-15
3253762,176682,prior,8,2,09,13,yes,2025-01-14
3065957,135456,prior,45,4,13,1,no,2025-01-02
880488,20436,prior,3,1,13,12,no,2025-01-13
360905,99011,prior,29,2,16,30,no,2025-01-31
205824,6923,prior,6,3,11,21,no,2025-01-22
3194424,155691,train,6,1,09,30,yes,2025-01-31
472877,84861,prior,26,0,15,11,no,2025-01-12
38825,80829,prior,3,4,12,6,no,2025-01-07
1814688,92929,prior,3,1,13,18,no,2025-01-19
2993108,142514,prior,53,6,12,6,no,2025-01-07
1679709,63257,prior,2,4,08,30,yes,2025-01-31
282699,168046,prior,51,6,17,8,no,2025-01-09
1805123,154155,prior,16,1,15,6,no,2025-01-07
1239754,101621,prior,27,5,20,1,no,2025-01-02
786724,202414,prior,17,2,11,6,no,2025-01-07
761494,92803,prior,3,4,09,30,yes,2025-01-31
3347299,176240,prior,27,6,12,12,no,2025-01-13
897128,175795,prior,4,1,16,0,no,2025-01-01
1064732,102951,prior,4,1,14,8,no,2025-01-09
2126916,97858,prior,11,6,13,1,no,2025-01-02
1835779,136146,prior,4,3,13,9,no,2025-01-10
2890581,110238,prior,74,0,10,3,yes,2025-01-04
1920550,136416,prior,2,2,22,0,no,2025-01-01
2693964,52997,prior,2,5,08,15,yes,2025-01-16
724966,135920,prior,40,4,17,4,no,2025-01-05
2718042,75868,test,11,6,11,30,no,2025-01-31
397002,91917,prior,6,4,18,30,no,2025-01-31
2590104,159459,prior,4,0,14,14,no,2025-01-15
650890,41752,prior,8,2,12,8,no,2025-01-09
2818302,91735,prior,4,5,20,1,no,2025-01-02
1078765,44228,prior,51,1,08,4,yes,2025-01-05
221447,101261,prior,59,3,11,5,no,2025-01-06
711542,43113,prior,42,1,07,2,yes,2025-01-03
731161,125343,train,10,6,17,30,no,2025-01-31
2974822,74786,prior,18,6,15,5,no,2025-01-06
683249,105341,prior,6,5,10,3,yes,2025-01-04
1563753,200034,prior,26,1,12,7,no,2025-01-08
2247959,72309,prior,43,0,08,2,yes,2025-01-03
1775321,12435,prior,6,4,17,12,no,2025-01-13
526485,172515,prior,4,1,14,6,no,2025-01-07
2278659,114403,prior,10,6,22,30,no,2025-01-31
1942496,64232,prior,13,0,09,8,yes,2025-01-09
3364210,39465,train,44,3,15,13,no,2025-01-14
2516362,169047,prior,54,6,16,7,no,2025-01-08
978992,113390,train,19,6,14,30,no,2025-01-31
1454178,41244,prior,16,6,12,30,no,2025-01-31
1554765,8812,prior,73,2,14,3,no,2025-01-04
2507993,182959,prior,10,5,13,15,no,2025-01-16
514832,77658,test,8,2,10,7,yes,2025-01-08
797045,127268,prior,57,1,15,0,no,2025-01-01
730225,126649,prior,8,3,16,10,no,2025-01-11
3409057,44423,prior,12,3,17,4,no,2025-01-05
491389,112024,prior,3,1,14,30,no,2025-01-31
2518995,83434,prior,4,4,09,4,yes,2025-01-05
2567173,47729,prior,10,1,01,7,no,2025-01-08
709749,159358,prior,22,0,10,17,yes,2025-01-18
1292369,126327,prior,2,1,16,28,no,2025-01-29
2306095,191097,prior,42,6,12,6,no,2025-01-07
1931636,143746,prior,22,5,18,6,no,2025-01-07
453347,146332,prior,4,4,11,30,no,2025-01-31
1365510,184141,prior,19,4,17,6,no,2025-01-07
180774,91186,prior,5,6,12,18,no,2025-01-19
1377411,102547,prior,21,2,09,11,yes,2025-01-12
3242463,182324,prior,27,6,12,7,no,2025-01-08
992950,126906,prior,3,2,19,7,no,2025-01-08
3102920,146885,prior,25,0,20,4,no,2025-01-05
1853222,86905,prior,62,4,17,5,no,2025-01-06
2321687,58204,prior,5,0,09,14,yes,2025-01-15
1896316,199737,prior,2,0,01,9,no,2025-01-10
1333460,57555,prior,6,4,11,30,no,2025-01-31
2314991,42736,prior,17,0,09,7,yes,2025-01-08
2138087,9433,prior,6,6,16,30,no,2025-01-31
617243,99411,prior,6,2,21,3,no,2025-01-04
2373260,134248,prior,81,6,21,3,no,2025-01-04
2679870,138230,prior,12,1,12,14,no,2025-01-15
1214641,129447,prior,11,3,17,15,no,2025-01-16
3351411,95557,prior,4,1,12,13,no,2025-01-14
1978795,91729,prior,2,1,22,7,no,2025-01-08
1391640,98091,prior,47,3,13,7,no,2025-01-08
3359810,13741,prior,6,4,17,8,no,2025-01-09
1259860,64317,prior,43,2,09,2,yes,2025-01-03
2825704,41085,prior,40,4,07,3,yes,2025-01-04
1864055,73918,prior,10,0,19,28,no,2025-01-29
3013026,119093,prior,3,4,11,30,no,2025-01-31
2185248,185611,train,9,0,16,30,no,2025-01-31
82723,61639,prior,18,3,16,8,no,2025-01-09
3111682,58036,prior,6,0,18,13,no,2025-01-14
2684524,72812,prior,25,0,14,7,no,2025-01-08
2669286,117460,prior,54,3,11,2,no,2025-01-03
3218093,133816,prior,13,3,18,5,no,2025-01-06
2456879,19250,prior,2,5,16,13,no,2025-01-14
386316,13804,prior,22,5,14,17,no,2025-01-18
1824858,45576,prior,36,1,10,10,yes,2025-01-11
3385723,70852,prior,48,2,09,7,yes,2025-01-08
2979803,82988,prior,2,2,20,30,no,2025-01-31
841688,175782,prior,7,0,17,7,no,2025-01-08
2270397,48959,test,16,1,08,11,yes,2025-01-12
2675068,84720,prior,6,6,16,6,no,2025-01-07
1615068,154494,prior,23,3,08,5,yes,2025-01-06
1079045,27801,prior,31,0,09,7,yes,2025-01-08
881040,144131,train,5,3,15,30,no,2025-01-31
687746,24998,prior,14,3,15,9,no,2025-01-10
3145420,73376,prior,14,3,16,17,no,2025-01-18
3140787,153244,prior,29,4,17,7,no,2025-01-08
2923786,115351,prior,12,4,15,23,no,2025-01-24
1475877,107100,prior,8,3,13,3,no,2025-01-04
1497081,102028,prior,9,1,14,4,no,2025-01-05
1764437,97288,prior,25,1,09,8,yes,2025-01-09
1680739,111072,prior,55,1,09,4,yes,2025-01-05
2167707,46092,prior,25,6,14,3,no,2025-01-04
866683,34567,prior,24,1,13,14,no,2025-01-15
2739231,16518,prior,2,3,08,4,yes,2025-01-05
1582659,189171,test,5,3,09,30,yes,2025-01-31
3273968,184247,prior,6,2,22,5,no,2025-01-06
1881212,187777,prior,17,2,22,17,no,2025-01-18
86617,148734,prior,22,6,21,13,no,2025-01-14
2010346,154980,prior,19,5,12,1,no,2025-01-02
584998,35103,prior,2,3,14,2,no,2025-01-03
702365,152751,prior,3,3,10,30,yes,2025-01-31
257720,73255,prior,5,4,11,4,no,2025-01-05
317794,100990,prior,7,0,10,7,yes,2025-01-08
2948423,151005,prior,21,3,16,5,no,2025-01-06
821027,62558,prior,29,1,09,10,yes,2025-01-11
2787504,116808,prior,17,5,17,7,no,2025-01-08
3410517,94116,train,26,6,18,6,no,2025-01-07
786975,1537,prior,36,6,12,1,no,2025-01-02
1284190,123016,prior,51,5,09,3,yes,2025-01-04
1725791,44967,prior,29,2,19,5,no,2025-01-06
272123,128655,prior,88,0,12,5,no,2025-01-06
2482078,44531,prior,17,3,23,2,no,2025-01-03
1388409,53942,prior,8,0,18,29,no,2025-01-30
2651593,125236,prior,28,2,19,2,no,2025-01-03
3120455,56133,prior,31,1,08,7,yes,2025-01-08
2238131,97040,train,49,1,16,1,no,2025-01-02
2929682,84605,prior,4,2,09,30,yes,2025-01-31
521005,154821,prior,9,4,12,2,no,2025-01-03
2852479,114300,prior,40,1,15,5,no,2025-01-06
1506287,20219,prior,2,0,09,10,yes,2025-01-11
